path,lines,compiles(Y/N),imports_clean(Y/N),real_libs_or_stub,has_stub_markers,verdict,evidence
backend/app/services/l1_cache.py,160,Y,Y,clean,"YES (7): L57, L65, L94, L101, L103",SUSPECT,Flagged by Master Prompt
backend/app/services/l2_manager.py,155,Y,Y,clean,NO,,
backend/app/services/llm_hardening.py,380,Y,Y,clean,NO,,
backend/app/services/llm_service.py,153,Y,Y,clean,NO,,
backend/app/services/memory_orchestrator.py,87,Y,Y,clean,NO,,
backend/app/services/morning_service.py,107,Y,Y,clean,YES (1): L58,STUB,Found 1 stub markers
backend/app/services/news_service.py,52,Y,Y,clean,NO,,
backend/app/services/notion_service.py,604,Y,Y,clean,NO,,
backend/app/services/preferences_service.py,105,Y,Y,clean,NO,,
backend/app/services/proactive_service.py,38,Y,Y,clean,"YES (2): L14, L35",SUSPECT,Flagged by Master Prompt
backend/app/services/reflection_service.py,78,Y,Y,clean,"YES (3): L14, L41, L72",STUB,Found 3 stub markers
backend/app/services/reminder_service.py,160,Y,Y,clean,YES (1): L110,STUB,Found 1 stub markers
backend/app/services/research_service.py,300,Y,Y,clean,NO,,
backend/app/services/scheduler_service.py,330,Y,Y,clean,NO,,
backend/app/services/security.py,32,Y,Y,clean,NO,,
backend/app/services/session_manager.py,1358,Y,Y,clean,YES (1): L31,STUB,Found 1 stub markers
backend/app/services/sheets_service.py,109,Y,Y,clean,NO,,
backend/app/services/stt_service.py,83,Y,Y,clean,NO,,
backend/app/services/subscription_service.py,32,Y,Y,clean,NO,,
backend/app/services/tts_service.py,67,Y,Y,clean,NO,,
backend/app/services/vad_service.py,102,Y,Y,clean,NO,,
backend/app/services/wake_word_service.py,241,Y,N,stubbed_on_ImportError,NO,,
backend/app/services/weather_service.py,58,Y,Y,clean,NO,,
backend/app/services/__init__.py,0,Y,Y,clean,NO,,
backend/app/services/memory/extractor.py,158,Y,N,stubbed_on_ImportError,NO,,
backend/app/services/memory/graph_ltm.py,116,Y,N,stubbed_on_ImportError,NO,,
backend/app/services/memory/recall.py,88,Y,Y,clean,NO,,
backend/app/speech/deepgram_client.py,17,Y,Y,clean,NO,,
backend/app/speech/deepgram_stream.py,223,Y,Y,clean,NO,,
backend/app/tools/base_tool.py,113,Y,Y,clean,NO,,
backend/app/tools/calendar_tool.py,294,Y,Y,clean,NO,,
backend/app/tools/image_tool.py,148,Y,Y,clean,NO,,
backend/app/tools/news_tool.py,171,Y,Y,clean,NO,,
backend/app/tools/notion_tool.py,419,Y,Y,clean,YES (1): L95,STUB,Found 1 stub markers
backend/app/tools/search_tool.py,242,Y,Y,clean,NO,,
backend/app/tools/tool_registry.py,159,Y,Y,clean,NO,,
backend/app/tools/weather_tool.py,228,Y,Y,clean,NO,,
backend/app/tools/__init__.py,2,Y,Y,clean,NO,,
backend/app/utils/seed_data.py,141,Y,Y,clean,"YES (2): L23, L105",STUB,Found 2 stub markers
backend/app/utils/summary_generator.py,123,Y,Y,clean,NO,,
backend/app/utils/__init__.py,4,Y,Y,clean,NO,,
backend/app/voice/memory_injector.py,59,Y,Y,clean,NO,,
backend/app/voice/pipeline.py,133,Y,N,stubbed_on_ImportError,NO,,
backend/app/voice/reflex.py,68,Y,Y,clean,NO,,
backend/app/voice/stt.py,29,Y,Y,clean,NO,,
backend/app/voice/wakeword_processor.py,68,Y,Y,clean,NO,,
backend/app/workflows/accountability_monitor.py,115,Y,Y,clean,NO,,
backend/app/workflows/awake_verification.py,155,Y,Y,clean,NO,,
backend/app/workflows/content_engine.py,166,Y,Y,clean,NO,,
backend/app/workflows/content_manager.py,387,Y,Y,clean,YES (1): L198,STUB,Found 1 stub markers
backend/app/workflows/habit_graph.py,250,Y,Y,clean,NO,,
backend/app/workflows/instagram_graph.py,250,Y,Y,clean,NO,,
backend/app/workflows/linkedin_graph.py,265,Y,Y,clean,NO,,
backend/app/workflows/research_engine.py,271,Y,Y,clean,NO,,
backend/app/workflows/research_graph.py,268,Y,Y,clean,NO,,
backend/app/workflows/research_manager.py,185,Y,Y,clean,NO,,
backend/app/workflows/routine_engine.py,241,Y,Y,clean,NO,,
backend/app/workflows/routine_graph.py,364,Y,Y,clean,NO,,
backend/app/workflows/study_planner.py,393,Y,Y,clean,NO,,
backend/app/workflows/study_planner_logic.py,112,Y,Y,clean,NO,,
backend/app/workflows/study_planner_notion.py,310,Y,Y,clean,"YES (9): L98, L164, L165, L167, L168",STUB,Found 9 stub markers
backend/app/workflows/task_manager.py,388,Y,Y,clean,NO,,
backend/app/workflows/youtube_engine.py,161,Y,Y,clean,NO,,
backend/app/workflows/youtube_graph.py,245,Y,Y,clean,NO,,
backend/app/workflows/__init__.py,4,Y,Y,clean,NO,,
backend/gateway/openclaw_gateway.py,205,Y,Y,clean,NO,,
backend/tests/test_habit_service.py,62,Y,Y,clean,NO,,
backend/tests/test_health_routes.py,15,Y,Y,clean,NO,,
backend/tests/test_memory_extraction.py,48,Y,Y,clean,NO,,
backend/tests/test_news_service.py,37,Y,Y,clean,NO,,
backend/tests/test_openclaw_gateway.py,112,Y,Y,clean,NO,,
backend/tests/test_recall_scoring.py,27,Y,Y,clean,NO,,
backend/tests/test_reflection_service.py,55,Y,Y,clean,NO,,
backend/tests/test_reminder_service.py,79,Y,Y,clean,NO,,
backend/tests/test_research_service.py,85,Y,Y,clean,NO,,
backend/tests/test_sync_routes.py,56,Y,Y,clean,NO,,
backend/tests/test_wakeword_parity.py,42,Y,Y,clean,NO,,
backend/tests/test_weather_service.py,39,Y,Y,clean,NO,,
